id,rating,user
http://allrecipes.com/recipe/6666/sweet-potato-bread-i/,stars stars-5,"  rde1398 
                         "
http://allrecipes.com/recipe/6666/sweet-potato-bread-i/,stars stars-1,"  Lauren 
                         "
http://allrecipes.com/recipe/6666/sweet-potato-bread-i/,,
http://allrecipes.com/recipe/6666/sweet-potato-bread-i/,,
http://allrecipes.com/recipe/6666/sweet-potato-bread-i/,stars stars-5,"  rde1398 
                         "
http://allrecipes.com/recipe/6666/sweet-potato-bread-i/,stars stars-5,"  Rebecca Laymance 
                         "
http://allrecipes.com/recipe/6666/sweet-potato-bread-i/,stars stars-5,"  Tracey4840 
                         "
http://allrecipes.com/recipe/6666/sweet-potato-bread-i/,stars stars-5,"  chellebelle 
                         "
http://allrecipes.com/recipe/6666/sweet-potato-bread-i/,stars stars-5,"  CookinginFL 
                         "
http://allrecipes.com/recipe/6666/sweet-potato-bread-i/,stars stars-5,"  MommyFromSeattle 
                         "
http://allrecipes.com/recipe/6666/sweet-potato-bread-i/,stars stars-5,"  cinnaminn 
                         "
http://allrecipes.com/recipe/6666/sweet-potato-bread-i/,stars stars-5,"  SARAKM 
                         "
http://allrecipes.com/recipe/6666/sweet-potato-bread-i/,stars stars-4,"  JFLAMINGO 
                         "
http://allrecipes.com/recipe/6672/strawberry-bread-i/,stars stars-5,"  pixiedreams 
                         "
http://allrecipes.com/recipe/6672/strawberry-bread-i/,stars stars-1,"  SPETROVICH 
                         "
http://allrecipes.com/recipe/6672/strawberry-bread-i/,,
http://allrecipes.com/recipe/6672/strawberry-bread-i/,,
http://allrecipes.com/recipe/6672/strawberry-bread-i/,stars stars-1,"  SPETROVICH 
                         "
http://allrecipes.com/recipe/6672/strawberry-bread-i/,stars stars-5,"  pixiedreams 
                         "
http://allrecipes.com/recipe/6672/strawberry-bread-i/,stars stars-5,"  GINGER LEIGH 
                         "
http://allrecipes.com/recipe/6672/strawberry-bread-i/,stars stars-4,"  bluestarsister 
                         "
http://allrecipes.com/recipe/6672/strawberry-bread-i/,stars stars-5,"  JDVMD 
                         "
http://allrecipes.com/recipe/6672/strawberry-bread-i/,stars stars-5,"  PIEHL 
                         "
http://allrecipes.com/recipe/6672/strawberry-bread-i/,stars stars-4,"  DEBORAH 
                         "
http://allrecipes.com/recipe/6672/strawberry-bread-i/,stars stars-4,"  NADES 
                         "
http://allrecipes.com/recipe/6672/strawberry-bread-i/,stars stars-1,"  always1332 
                         "
http://allrecipes.com/recipe/6671/oatmeal-bread-i/,,
http://allrecipes.com/recipe/6671/oatmeal-bread-i/,stars stars-5,"  MommaBear 
                         "
http://allrecipes.com/recipe/6671/oatmeal-bread-i/,stars stars-3,"  Candice Stimpy Moore 
                         "
http://allrecipes.com/recipe/6671/oatmeal-bread-i/,,
http://allrecipes.com/recipe/6671/oatmeal-bread-i/,,
http://allrecipes.com/recipe/6671/oatmeal-bread-i/,stars stars-5,"  MommaBear 
                         "
http://allrecipes.com/recipe/6671/oatmeal-bread-i/,stars stars-5,"  Lys 
                         "
http://allrecipes.com/recipe/6671/oatmeal-bread-i/,stars stars-5,"  IRISHEYESMARGY01 
                         "
http://allrecipes.com/recipe/6671/oatmeal-bread-i/,stars stars-5,"  breadlover 
                         "
http://allrecipes.com/recipe/6671/oatmeal-bread-i/,stars stars-5,"  Muffinmom 
                         "
http://allrecipes.com/recipe/6671/oatmeal-bread-i/,stars stars-4,"  margie 
                         "
http://allrecipes.com/recipe/6671/oatmeal-bread-i/,stars stars-5,"  MACKALLEN 
                         "
http://allrecipes.com/recipe/6671/oatmeal-bread-i/,stars stars-5,"  Kali Peacock 
                         "
http://allrecipes.com/recipe/6671/oatmeal-bread-i/,stars stars-4,"  Momi 
                         "
http://allrecipes.com/recipe/6670/dees-health-bread/,,
http://allrecipes.com/recipe/6670/dees-health-bread/,stars stars-5,"  Michelle Stone 
                         "
http://allrecipes.com/recipe/6670/dees-health-bread/,stars stars-3,"  txmtnmom 
                         "
http://allrecipes.com/recipe/6670/dees-health-bread/,,
http://allrecipes.com/recipe/6670/dees-health-bread/,,
http://allrecipes.com/recipe/6670/dees-health-bread/,stars stars-5,"  Michelle Stone 
                         "
http://allrecipes.com/recipe/6670/dees-health-bread/,stars stars-5,"  Gina 
                         "
http://allrecipes.com/recipe/6670/dees-health-bread/,stars stars-5,"  Callie 
                         "
http://allrecipes.com/recipe/6670/dees-health-bread/,stars stars-5,"  CARLY5575 
                         "
