1,1,28,4
2,1,26,2
3,1,9,5
4,1,1,4
5,1,14,4
6,1,13,2
7,2,2,2
8,2,15,3
9,2,1,5
10,2,21,5
11,2,34,4
12,2,14,2
13,2,31,3
14,3,1,3
15,3,22,3
16,3,13,5
17,3,3,5
18,3,2,4
19,3,23,3
20,4,1,5
21,4,4,5
22,4,2,5
23,4,13,5
24,4,24,5
25,4,5,5
26,5,31,3
27,5,32,2
28,5,1,5
29,5,34,5
30,5,19,5
31,5,33,5
32,5,29,3
33,5,9,5
34,5,21,4
35,6,33,4
36,6,2,5
37,6,1,5
38,6,31,2
39,6,34,3
40,6,32,5
41,7,13,5
42,7,34,4
43,7,4,2
44,7,12,5
45,7,1,5
46,7,16,5
47,7,22,5
48,7,23,5
49,8,14,5
50,8,10,5
51,8,3,5
52,8,27,5
53,8,23,3
54,8,1,4
55,8,28,5
56,9,16,5
57,9,3,5
58,9,28,5
59,9,1,5
60,9,13,5
61,9,29,4
62,10,8,4
63,10,29,5
64,10,23,5
65,10,3,4
66,10,1,4
67,10,15,5
68,10,22,4
69,10,13,5
70,11,16,4
71,11,34,3
72,11,3,5
73,11,14,5
74,11,1,5
75,11,2,4
76,12,14,3
77,12,1,5
78,12,15,5
79,12,23,5
80,12,3,5
81,12,8,5
82,13,7,5
83,13,22,4
84,13,1,4
85,13,15,4
86,13,13,4
87,13,23,3
88,14,2,4
89,14,3,5
90,14,24,5
91,14,5,5
92,14,13,5
93,14,1,5
94,15,13,5
95,15,4,5
96,15,14,4
97,15,3,5
98,15,1,5
99,15,28,5
100,16,32,5
101,16,8,4
102,16,33,5
103,16,1,4
104,16,34,4
105,16,30,5
106,16,3,4
107,17,2,4
108,17,13,4
109,17,24,4
110,17,3,4
111,17,5,5
112,17,1,4
113,18,3,5
114,18,13,5
115,18,14,5
116,18,1,5
117,18,21,5
118,18,25,5
119,19,21,5
120,19,15,5
121,19,22,5
122,19,23,3
123,19,2,5
124,19,16,4
125,19,9,5
126,19,24,5
127,19,25,5
128,19,6,5
129,20,33,4
130,20,24,5
131,20,34,5
132,20,2,5
133,20,5,5
134,20,14,4
135,20,23,4
136,20,31,3
137,21,2,4
138,21,8,3
139,21,21,3
140,21,20,2
141,21,28,4
142,21,11,4
143,21,5,3
144,21,13,3
145,21,24,3
146,21,26,4
147,21,32,1
148,21,29,1
149,22,19,3
150,22,2,4
151,22,9,4
152,22,24,5
153,22,22,5
154,22,7,4
155,23,34,5
156,23,33,3
157,23,32,4
158,23,29,4
159,23,14,5
160,23,31,5
161,23,2,4
162,23,25,4
163,24,10,5
164,24,2,5
165,24,5,5
166,24,24,5
167,24,23,5
168,24,15,5
169,24,27,5
170,25,13,4
171,25,27,5
172,25,3,4
173,25,2,5
174,25,24,5
175,25,10,5
176,26,6,5
177,26,5,5
178,26,22,5
179,26,10,5
180,26,24,5
181,26,2,5
182,26,27,5
183,26,8,5
184,27,2,5
185,27,24,5
186,27,11,5
187,27,5,5
188,27,34,5
189,27,26,5
190,28,27,5
191,28,24,5
192,28,28,5
193,28,14,5
194,28,25,5
195,28,2,5
196,29,5,5
197,29,24,5
198,29,2,5
199,29,16,5
200,29,14,5
201,29,13,5
202,30,27,4
203,30,28,5
204,30,5,5
205,30,10,5
206,30,14,4
207,30,13,3
208,30,3,5
209,30,22,3
210,30,24,4
211,30,21,4
212,31,31,2
213,31,34,5
214,31,33,4
215,31,28,5
216,31,9,5
217,31,3,5
218,31,29,4
219,32,3,5
220,32,13,5
221,32,22,4
222,32,4,5
223,32,24,4
224,32,21,4
225,33,8,5
226,33,7,5
227,33,6,5
228,33,3,5
229,33,13,5
230,33,23,4
231,34,10,5
232,34,28,5
233,34,3,5
234,34,13,5
235,34,9,5
236,34,25,3
237,34,16,4
238,35,16,5
239,35,27,4
240,35,14,5
241,35,10,5
242,35,26,5
243,35,3,5
244,35,30,5
245,35,12,5
246,35,13,5
247,35,28,5
248,35,11,4
249,35,32,2
250,35,25,5
251,36,18,1
252,36,3,5
253,36,24,5
254,36,23,5
255,36,31,1
256,36,34,5
257,37,3,5
258,37,12,4
259,37,8,5
260,37,16,5
261,37,11,5
262,37,10,5
263,37,26,5
264,38,24,4
265,38,13,4
266,38,6,4
267,38,21,5
268,38,28,4
269,38,5,5
270,38,3,5
271,39,11,4
272,39,3,5
273,39,25,5
274,39,22,4
275,39,10,5
276,39,26,5
277,39,9,5
278,39,8,5
279,39,13,5
280,40,15,2
281,40,7,4
282,40,8,5
283,40,11,5
284,40,23,5
285,40,4,5
286,41,23,3
287,41,5,5
288,41,6,5
289,41,15,4
290,41,13,5
291,41,21,4
292,41,4,5
293,42,21,5
294,42,4,4
295,42,31,2
296,42,18,5
297,42,20,3
298,42,33,4
299,43,11,4
300,43,28,4
301,43,27,4
302,43,13,5
303,43,5,4
304,43,14,5
305,44,7,4
306,44,21,5
307,44,23,2
308,44,24,5
309,44,20,3
310,44,5,5
311,45,23,3
312,45,8,5
313,45,15,5
314,45,6,5
315,45,29,5
316,45,7,2
317,46,9,5
318,46,6,5
319,46,10,5
320,46,25,5
321,46,16,5
322,46,22,5
323,47,33,4
324,47,13,5
325,47,25,4
326,47,22,5
327,47,10,5
328,47,6,5
329,48,6,5
330,48,29,5
331,48,34,4
332,48,33,4
333,48,31,4
334,48,32,4
335,49,13,5
336,49,33,5
337,49,32,5
338,49,34,5
339,49,29,3
340,49,6,5
341,50,22,3
342,50,10,5
343,50,25,5
344,50,27,5
345,50,9,5
346,50,13,5
347,51,27,3
348,51,14,4
349,51,9,4
350,51,28,4
351,51,13,5
352,51,25,4
353,51,10,4
354,51,22,4
355,52,28,3
356,52,30,5
357,52,33,5
358,52,10,5
359,52,13,3
360,52,27,5
361,53,31,2
362,53,26,5
363,53,23,4
364,53,34,5
365,53,21,5
366,53,10,5
367,54,22,5
368,54,16,5
369,54,10,5
370,54,15,4
371,54,28,5
372,54,12,5
373,55,10,4
374,55,21,5
375,55,20,5
376,55,19,2
377,55,30,4
378,55,22,4
379,55,31,4
380,56,21,5
381,56,18,5
382,56,14,5
383,56,27,5
384,56,12,5
385,56,24,5
386,56,16,4
387,57,33,1
388,57,21,5
389,57,14,2
390,57,30,5
391,57,20,5
392,57,23,3
393,58,32,5
394,58,34,5
395,58,20,5
396,58,33,3
397,58,14,5
398,58,29,4
399,59,32,5
400,59,30,5
401,59,34,5
402,59,31,5
403,59,21,5
404,59,20,4
405,59,16,5
406,59,14,5
407,60,31,5
408,60,14,5
409,60,33,5
410,60,34,5
411,60,32,4
412,60,29,2
413,61,31,4
414,61,30,1
415,61,21,4
416,61,14,5
417,61,32,2
418,61,34,3
419,62,29,5
420,62,33,5
421,62,20,5
422,62,32,5
423,62,14,5
424,62,31,5
425,63,14,5
426,63,34,5
427,63,30,2
428,63,32,5
429,63,31,2
430,63,16,5
431,63,33,4
432,64,16,5
433,64,34,4
434,64,22,5
435,64,21,4
436,64,30,1
437,64,33,5
438,64,31,2
